%batchNum lastTS numPackets totalBytes avgInterAT stdInterAT avgLength stdLength ipSrc ipDst ipSrcDst ipv4 ipv6 icmp4 icmp6 ipMaskSrc[30] [29] [28] [27] [26] [25] [24] [23] [22] [21] [20] [19] [18] [17] [16] ipMaskDst[30] [29] [28] [27] [26] [25] [24] [23] [22] [21] [20] [19] [18] [17] [16] numTCP numUDP  othersL4 srcPortTCP dstPortTCP srcPortUDP dstPortUDP ipSrcPort ipDstPort tcpSyn tcpFin tcpRes flows flowsTCP flowsUDP flowsOther avgPacketsFlowTCP stdPacketsFlowTCP avgPacketsFlowUDP stdPacketsFlowUDP avgPacketsFlowOther stdPacketsFlowOther avgInterAtFlowTCP stdInterAtFlowTCP avgInterAtFlowUDP stdInterAtFlowUDP avgInterAtFlowOther stdInterAtFlowOther avgLengthFlowTCP stdLengthFlowTCP avgLengthFlowUDP stdLengthFlowUDP avgLengthFlowOther stdLengthFlowOther onePacketFlows httpPackets httpFlows sslPackets sslFlows smtpPackets smtpFlows auxFet
1 575005 45230 36001226 12.716010614772225 353.032724482457 802.6218035893435 676.5008476721414 3240 1190 4326 45199 31 117 31 3105 3038 2966 2891 2802 2739 2676 2620 2558 2492 2413 2313 2204 2045 1862 1078 963 817 644 474 315 200 116 65 35 20 12 8 5 4 38591 5989 502 1342 38591 822 5988 3866 45200 751 493 523 5625 4128 1030 467 9.34859496124031 34.170556594596114 5.8145631067961165 17.81580513536672 1.39186295503212 2.718404242825006 267450.3529554264 151445.09306312227 276692.5796116505 152179.9107279856 328203.09850107064 139488.06716421965 7845.3694282945735 43784.29561177426 3464.46213592233 20851.776678440925 246.21761658031087 1778.2089886326314 2966 27811 2684 412 100 66 18 0
2 1075003 43333 34435954 11.54429386096553 13.681539290242492 800.4338477988006 676.0024237418379 3246 1164 4362 43277 56 121 56 3122 3063 2987 2891 2804 2734 2666 2613 2559 2492 2417 2318 2205 2043 1842 1049 937 780 625 463 314 197 115 68 37 21 13 9 6 5 36992 5772 392 1309 36992 816 5772 3834 43278 740 505 406 5431 3969 1051 411 9.320231796422272 34.637273864158836 5.491912464319696 16.868749503154948 1.3844282238442822 3.14143488531692 769823.6366843034 151080.22106648044 778059.177925785 152050.7176927273 800710.396593674 141627.67474848198 7855.703955656337 45042.06174496051 3081.60608943863 18452.017505797383 90.13861386138613 272.7051866244593 2891 26650 2613 361 93 70 16 0
3 1575002 41956 32728061 41.425876910604 6041.629483231121 787.7836562763268 677.622385027484 3126 1160 4238 41896 60 106 60 3010 2959 2889 2804 2720 2660 2603 2548 2490 2423 2353 2259 2154 1994 1805 1037 928 780 616 456 305 196 119 67 36 20 12 8 5 4 35214 6072 504 1314 35213 828 6072 3739 41896 729 500 510 5472 4005 998 469 8.79250936329588 30.182118872363286 6.084168336673347 18.712464098168645 1.4285714285714286 4.574425989600045 1263302.9565543071 151104.0988970828 1288505.8607214428 153145.476947113 1317645.8869936033 148028.40026172987 7242.6558441558445 39043.705984067135 3712.0851703406815 21346.821047163892 142.45294117647057 918.9824839910459 2933 24306 2573 372 99 40 11 0
4 2075019 45031 36494713 11.108410716665926 13.319601458033352 816.8647626295409 673.5114597343139 3205 1193 4353 44974 57 128 57 3090 3036 2961 2874 2788 2723 2663 2619 2565 2501 2425 2321 2188 2030 1854 1067 936 788 636 472 311 195 115 67 37 21 13 9 6 5 37983 6424 439 1320 37981 814 6424 3783 44973 826 551 504 5504 4104 979 421 9.255116959064328 33.72035915930254 6.561797752808989 20.43802760593198 1.482185273159145 3.801487394862919 1780810.0236354775 155119.98349962672 1778107.5914198162 151775.5667937055 1819255.2874109263 139276.24331846758 7920.545698269559 43976.648527518475 4057.6220633299286 23735.391186373432 131.14893617021278 661.9474090442726 2945 27433 2696 470 104 77 10 0
5 2575007 41154 31709371 12.152711275308071 13.904037767574248 776.8750275620453 678.4733547988179 3105 1168 4188 41091 63 115 63 2996 2937 2869 2786 2707 2645 2588 2540 2484 2413 2342 2253 2127 1982 1794 1049 934 798 634 470 322 205 120 66 36 20 12 8 5 4 34122 6469 385 1342 34122 750 6469 3709 41092 802 529 416 5440 4118 919 403 8.286061194754735 31.87458348536065 7.039173014145811 22.244780292734628 1.3970223325062034 3.6027973691806054 2267827.187955318 149829.39554810285 2281630.027203482 155885.61405655398 2337463.4665012406 138894.27593570843 6658.785332685769 40984.45463533939 4646.764961915125 26277.28922739882 99.20967741935483 399.43565027383 2889 24439 2678 432 119 51 11 0
6 3075010 40664 31517175 12.299886844435697 14.602846033222395 781.820405328306 676.8520065542934 3099 1171 4182 40601 63 117 63 2980 2915 2843 2754 2676 2614 2552 2505 2453 2396 2331 2241 2116 1970 1791 1055 930 779 606 437 293 187 115 65 36 20 12 8 5 4 34382 5685 417 1313 34382 785 5685 3702 40602 712 585 311 5379 4009 948 422 8.57620354203043 29.66509665568141 5.996835443037975 19.075825822272748 1.414691943127962 3.7807193578152876 2776375.3073085556 152460.6983528508 2785510.371308017 152747.6170665227 2820260.4218009477 137204.3717510039 7068.1341980543775 38703.426064316176 3327.9166666666665 21541.693675529266 144.86885245901638 656.9230976942073 2960 25047 2656 460 135 75 9 0
7 3575001 44573 35874123 11.221760890544695 13.55409911432356 813.0583369217868 674.0369129949613 3110 1226 4221 44482 91 108 91 2996 2938 2871 2795 2718 2659 2598 2545 2494 2432 2359 2277 2167 2021 1835 1110 998 834 655 482 326 199 117 65 36 20 12 8 5 4 38039 5849 486 1321 38039 779 5849 3721 44483 815 582 434 5559 4147 937 475 9.172654931275622 34.77983736377846 6.242262540021344 18.08322984722523 1.4421052631578948 4.46624768917406 3267401.587894864 149217.99502186736 3289057.1216648878 154265.5837160858 3351417.7157894736 149285.99464491673 7838.737882806849 46259.57707523022 3572.547491995731 19589.357778388003 118.1547619047619 382.31000572335336 2886 27918 2737 536 111 86 10 0
8 4075007 42531 34172736 11.760472281675565 14.014657049878101 809.8459606133138 675.5382597242067 3183 1191 4277 42500 31 104 31 3058 3005 2926 2844 2762 2701 2644 2597 2542 2475 2402 2299 2171 2013 1829 1060 951 803 645 466 313 190 113 64 35 20 12 8 5 4 35710 6211 475 1317 35708 852 6210 3798 42499 792 425 420 5362 3906 1031 425 9.142345110087046 31.612509271608236 6.024248302618816 19.954822884532334 1.4352941176470588 3.269466587182974 3766524.050435228 151742.99199674232 3781242.232783705 152421.7953230554 3826985.416470588 143305.7159031369 7772.7416133162615 41431.05763126032 3671.0882638215326 22204.086079276196 202.39772727272728 896.4609235767056 2859 25271 2524 464 105 89 11 0
9 4575011 43238 35084583 11.569541174020685 13.83906852619723 817.5441221018292 670.9004730159294 3055 1161 4136 43207 31 89 31 2939 2885 2817 2738 2656 2593 2544 2505 2452 2390 2323 2237 2117 1962 1784 1055 945 788 633 469 316 198 119 68 36 20 12 8 5 4 35426 7283 409 1269 35426 803 7282 3633 43208 770 481 435 5254 3908 948 398 9.064994882292734 31.93965410905285 7.682489451476793 33.494882788207825 1.329145728643216 2.232131730051232 4264967.965967246 149811.52930506165 4280154.91350211 151962.76721343127 4292837.334170855 148970.04064008658 7622.64329580348 41435.81519912414 5567.776371308017 42125.76462232849 107.18518518518519 358.43109777452605 2730 25682 2537 403 96 111 14 0
10 5075023 42721 33861874 11.707993818488339 13.829721337846122 799.9022511988284 678.4129850793238 3136 1199 4214 42626 95 104 95 3011 2947 2856 2767 2687 2634 2573 2531 2473 2413 2342 2257 2154 2013 1829 1089 982 838 660 472 306 196 118 66 36 21 13 9 6 5 35718 6346 458 1307 35718 802 6345 3737 42627 823 507 413 5384 3999 973 412 8.931732933233308 30.9500723221156 6.522096608427543 20.43891457949952 1.5946601941747574 5.4262486818502484 4771469.435858965 151196.3584463234 4781185.582733813 152760.74885989318 4829991.939320388 147267.15599797052 7402.429857464366 40739.36459248106 4350.343268242549 24317.56831687407 153.7556818181818 574.8407931766847 2815 24873 2636 457 107 170 22 0
