%batchNum lastTS numPackets totalBytes avgInterAT stdInterAT avgLength stdLength ipSrc ipDst ipSrcDst ipv4 ipv6 icmp4 icmp6 ipMaskSrc[30] [29] [28] [27] [26] [25] [24] [23] [22] [21] [20] [19] [18] [17] [16] ipMaskDst[30] [29] [28] [27] [26] [25] [24] [23] [22] [21] [20] [19] [18] [17] [16] numTCP numUDP  othersL4 srcPortTCP dstPortTCP srcPortUDP dstPortUDP ipSrcPort ipDstPort tcpSyn tcpFin tcpRes flows flowsTCP flowsUDP flowsOther avgPacketsFlowTCP stdPacketsFlowTCP avgPacketsFlowUDP stdPacketsFlowUDP avgPacketsFlowOther stdPacketsFlowOther avgInterAtFlowTCP stdInterAtFlowTCP avgInterAtFlowUDP stdInterAtFlowUDP avgInterAtFlowOther stdInterAtFlowOther avgLengthFlowTCP stdLengthFlowTCP avgLengthFlowUDP stdLengthFlowUDP avgLengthFlowOther stdLengthFlowOther onePacketFlows httpPackets httpFlows sslPackets sslFlows smtpPackets smtpFlows auxFet
1 500028 46162 39617870 10.837219886437518 13.66871594826021 865.7839160839161 668.8834763045442 3184 1226 4247 46067 95 126 95 3046 2976 2916 2832 2750 2686 2622 2573 2525 2465 2384 2303 2184 2035 1856 1091 967 823 643 475 319 199 118 67 37 21 13 9 6 5 39039 6398 504 1396 39039 799 6398 3864 46068 841 581 494 5502 4074 966 462 9.582474226804123 45.14987315215155 6.6231884057971016 24.24544524043294 1.5692640692640694 5.109832640154628 192148.54761904763 151219.74863134816 203414.61283643893 148010.27824668278 244994.53463203463 149636.0396845716 8700.379234167895 62101.55118672755 4289.398550724638 28078.081734425756 147.57788944723617 668.6352296669379 2900 28898 2646 279 123 57 14 0
2 1157396 22293 18565495 29.5 2744.8014814373096 840.9907591955065 672.9896894967048 2101 902 2786 22233 60 60 60 2014 1977 1934 1887 1832 1801 1754 1723 1691 1661 1612 1550 1492 1402 1303 818 742 646 516 391 265 172 107 61 34 19 11 7 5 4 18446 3489 238 941 18446 486 3489 2516 22234 399 261 248 3420 2608 571 241 7.072852760736196 25.47800687565313 6.110332749562172 17.722120504227895 1.4854771784232366 3.867622813055377 594899.3316717792 72427.11696342619 604966.5008756567 72270.46558338495 609476.5228215768 70349.58841805125 6162.124616564417 34792.52052859559 4349.623467600701 22110.219652155196 110.3529411764706 220.6077167867941 1742 13188 1668 198 78 17 10 0
3 1500001 31794 27795865 10.78096286972939 13.801577558702249 879.2878337340251 666.9044196870358 2521 1059 3374 31794 0 91 0 2418 2378 2325 2255 2192 2152 2098 2052 2000 1955 1907 1852 1782 1668 1537 943 842 712 571 431 299 189 116 63 35 19 11 7 4 3 26310 5105 288 1106 26310 642 5105 3002 31794 522 386 253 4190 3137 758 295 8.38699394325789 30.106086998122823 6.7348284960422165 24.01805059985956 1.2847457627118644 1.1334662600677023 1290120.8186165127 102764.55418113068 1301721.2321899736 106710.85026383991 1318429.2644067795 99450.03063356466 7633.9623844437365 40594.35048157219 5060.588390501319 30672.328239117738 85.38620689655173 148.35549104815072 2187 19431 2034 174 94 57 16 0
4 2000011 45239 38495513 49.998783589516755 8280.007529704344 856.7191436328837 668.3048173585281 3193 1188 4265 45207 32 98 32 3081 3022 2956 2870 2793 2724 2667 2608 2559 2507 2435 2337 2232 2074 1883 1060 954 798 639 463 312 201 121 67 36 20 12 8 5 4 37196 7458 455 1392 37193 900 7458 3833 45205 752 528 457 5523 4015 1090 418 9.26425902864259 33.48393789768075 6.842201834862386 28.31210393732331 1.3995215311004785 2.4514423056622054 1699458.7882938979 150473.63465244108 1710641.1541284404 156237.11231272572 1728488.2105263157 147227.6770247052 8208.469357249627 44987.57187223646 5071.496330275229 34836.22870734515 106.6536312849162 319.11938887748875 2918 26934 2571 320 116 409 21 0
5 2500004 44774 37622063 11.174943011665848 13.444217039171962 848.6151260883295 670.8923153565922 3231 1328 4448 44681 93 104 93 3114 3052 2967 2875 2806 2747 2680 2628 2574 2523 2460 2381 2266 2127 1941 1134 1008 837 664 484 326 203 121 69 37 21 13 9 6 5 37208 6887 482 1486 37208 825 6887 3976 44682 887 654 421 5708 4214 1034 460 8.829615567157095 34.58018957659571 6.660541586073501 25.6270114085329 1.4760869565217392 4.473594022512645 2193349.6167536783 150493.7010080761 2207003.525145068 150669.43628314938 2254525.0434782607 146697.58506378232 7844.5908875177975 46596.77787269192 4399.58994197292 29113.362765265272 96.55357142857143 252.7365699884443 3011 26671 2692 367 141 115 19 0
6 3000011 45596 38106668 10.971366508688783 13.381814341264372 843.9552410692535 672.2543903464417 3161 1252 4352 45534 62 106 62 3036 2984 2919 2831 2750 2690 2629 2576 2518 2471 2402 2313 2201 2055 1891 1059 942 787 632 467 305 194 115 66 36 20 12 8 5 4 39203 5635 590 1455 39203 782 5635 3950 45535 1017 590 454 5758 4325 919 514 9.0642774566474 39.25110800689308 6.131664853101197 24.600242397312446 1.4747081712062258 3.656719203157292 2703698.229364162 152917.06694357985 2718875.0152339498 154158.8668049118 2744966.5155642023 145701.59157675665 8097.534566473989 53447.93209932545 3326.480957562568 26520.11639244798 147.07291666666666 635.1924290126575 3119 28491 2830 792 156 43 19 0
7 3500031 42732 34042805 11.709746159610342 13.834220423992196 805.5864549563406 676.4447934627785 3260 1235 4378 42639 93 113 93 3132 3072 3010 2923 2840 2767 2701 2653 2594 2533 2462 2359 2235 2075 1889 1070 952 799 628 466 310 198 118 66 35 20 12 8 5 4 36864 5116 546 1407 36864 757 5115 3925 42640 890 535 456 5688 4237 934 517 8.700495633703092 30.91452047364112 5.477516059957173 23.296547427798707 1.4545454545454546 4.375507707484834 3195516.692707104 151819.7916413468 3222465.7419700213 156601.59701720605 3236471.6344294003 137205.754100963 7406.553693651168 40039.84020319664 2825.7462526766594 25157.23300361721 116.38860103626943 385.0582420114295 3040 25904 2796 675 132 76 9 0
8 4000023 44949 37717171 11.130690292277897 13.545192145579488 846.6726227889019 673.1615236327193 3246 1230 4396 44949 0 117 0 3122 3056 2985 2893 2816 2747 2682 2627 2572 2522 2454 2350 2230 2078 1895 1075 954 794 624 457 317 196 117 66 36 20 12 8 5 4 38644 5628 560 1335 38641 789 5628 3886 44947 829 605 385 5711 4256 958 497 9.079887218045112 36.37437504307718 5.874739039665971 26.240854853940128 1.3621730382293762 2.162419093984367 3688794.371005639 149323.3200825795 3709037.363256785 153365.51867962893 3752910.7002012073 135461.7824535056 8077.387074030552 48376.51124913415 3449.661795407098 29740.392909883318 247.23863636363637 1835.2248314084522 3153 28335 2801 691 140 191 16 0
9 4500048 44646 37069042 11.204804158824057 13.639945337522882 837.8601134642769 673.5512831517865 3198 1219 4328 44585 61 129 61 3079 3023 2961 2865 2781 2706 2645 2592 2543 2488 2430 2326 2209 2062 1883 1065 949 806 630 464 307 192 118 65 36 20 12 8 5 4 38188 5710 558 1345 38188 774 5710 3861 44586 837 541 443 5570 4145 936 489 9.213027744270205 36.9248772797289 6.10042735042735 25.389760874513122 1.5296523517382412 3.5478038369447193 4195691.677442702 148157.5002341506 4211410.202991453 150006.0894846667 4247664.439672802 147529.5417742655 8145.704221954162 49280.63203847145 3497.3856837606836 29468.532646332962 159.74 650.3800273686147 3034 27923 2702 296 121 70 20 0
10 5000004 47624 40774227 10.507018576111625 13.24063786409716 864.1263298435977 668.7585625811779 3257 1254 4410 47593 31 105 31 3151 3096 3024 2930 2854 2782 2717 2669 2612 2545 2470 2369 2234 2091 1897 1103 983 826 658 475 315 200 124 68 36 20 12 8 5 4 40688 6178 622 1370 40688 814 6177 3885 47594 802 591 361 5761 4279 977 505 9.508763729843421 48.610114287364254 6.3234390992835205 25.718955807339004 1.500990099009901 2.964476144596409 4695757.887824258 151942.53822094284 4718225.9037871035 151276.12911716267 4738785.867326733 153683.69994069438 8623.810236036457 67029.54838413237 3940.0747950819673 29818.508395583773 159.24571428571429 568.1448306298568 3074 30572 2810 481 116 47 12 0
